Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
403;341;;;;;;;341.203;Intervenção nos estados. Representação interventiva;;
404;341;;;;;;;341.204;Controle Difuso. Reserva de Plenário. Suspensão da Lei pelo Senado. Sistema Americano. Stare Decisis;;
405;341;;;;;;;341.205;Controle concentrado. Sistema Europeu. Efeito vinculante. Súmula vinculante. Ação Direta de Inconstitucionalidade (ADIn). Ação Declaratória de Constitucionalidade (ADC);;
406;341;;;;;;;341.206;Ação de Descumprimento de Preceito Fundamental;;
407;341;;;;;;;341.21;Nação, povo, território;;
408;341;;;;;;;341.22;Estado e suas diversas formas;;
409;341;;;;;;;341.222;Personalidade do Estado;;
410;341;;;;;;;341.2228;Expressões diversas da personalidade do Estado (Nome, armas, bandeiras, brasões, hinos etc);;
411;341;;;;;;;341.223;Dualismo político;;
412;341;;;;;;;341.224;Federalismo. Confederalismo;;
413;341;;;;;;;341.225;Centralização ou descentralização governamental e administrativa. Autonomia local (Home rule);;
414;341;;;;;;;341.227;Governo provisório. Governo revolucionário;;
415;341;;;;;;;341.228;Estado Liberal Clássico. Welfare State;;
416;341;;;;;;;341.23;Soberania. Estado e Governo;;
417;341;;;;;;;341.231;Soberania na própria Nação;;
418;341;;;;;;;341.232;Delegação de poderes em geral. Delegação a organismos privados;;
419;341;;;;;;;341.233;Separação dos poderes. Equilíbrio dos poderes. Sistema de Governo. Parlamentarismo. Presidencialismo;;
420;341;;;;;;;341.234;Democracia. Governo popular. Estado de Direito;;
421;341;;;;;;;341.235;Aristocracia. Oligarquia;;
422;341;;;;;;;341.236;Monarquia absoluta. Realeza. Império;;
423;341;;;;;;;341.237;Forma de Governo. Monarquia constitucional. Governo parlamentar;;
424;341;;;;;;;341.238;República. Forma republicana;;
425;341;;;;;;;341.239;Autoritarismo. Totalitarismo;;
426;341;;;;;;;341.24;Constituições (Estabelecimento e revisão das constituições. Poderes, Constituintes, Assembléias nacionais. Lei (fundamental);;
427;341;;;;;;;341.25;Poderes do Estado;;
428;341;;;;;;;341.251;Poder executivo;;
429;341;;;;;;;341.2511;Chefe de Estado. Monarca. Presidente;;
430;341;;;;;;;341.25111;Vice-Presidente;;
431;341;;;;;;;341.25112;Modo de designação do Chefe de Estado. Eleição. Plebiscito. Acesso de sucessão ao trono (Lei sálica). Designação pelo soberano. Posse, coroação, juramento;;
432;341;;;;;;;341.25113;Abdicação, deposição;;
433;341;;;;;;;341.25114;Interregno. Governo do Conselho de Ministros;;
434;341;;;;;;;341.25115;Responsabilidade dos chefes de Estado;;
435;341;;;;;;;341.25116;Privilégios e imunidades dos chefes de Estado;;
436;341;;;;;;;341.25117;Mensagens às câmaras. Falas do trono;;
437;341;;;;;;;341.25118;Famílias dos chefes de Estado. Príncipes imperiais e reais. Privilégios;;
438;341;;;;;;;341.2512;Regência. Conselho de regência;;
439;341;;;;;;;341.2513;Regime dos bens do chefe de Estado. Patrimônio privado;;
440;341;;;;;;;341.2514;Atribuições e funções dos chefes de Estado em matéria de relações internacionais, Negociações dos tratados. Declaração de guerra. Proteção dos territórios;;
441;341;;;;;;;341.2515;Atribuições e funções dos chefes de Estado relativas ao poder legislativo. Convocação, dissolução e prorrogação das Câmaras. Apresentação de leis. Veto, Referendum real;;
442;341;;;;;;;341.2516;Atribuições e funções dos chefes de Estado relativas ao poder executivo;;
443;341;;;;;;;341.2517;Atribuições e funções dos chefes de Estado relativas ao poder judiciário;;
